province_,region_,families_sum,person_sum,dead_sum,injured_ill_sum,missing_sum,totally_sum,partially_sum,cost_sum,has_food_sum,has_cash_sum,has_hygiene_health_sum,has_sleeping_essentials_sum,has_shelter_support_sum,first_year,last_year,num_reports,num_typhoons,recurrence_rate,cost_per_family
ORIENTAL MINDORO,4B,153688.0,665560.0,2.0,4.0,0.0,3690.0,36518.0,65266452.53,49,5,8,6,8,2020,2025,16,24,4.0,424.66850066368227
PALAWAN,4B,193813.0,699143.0,29.0,3.0,4.0,15660.0,75300.0,477540047.94,57,8,8,9,9,2020,2025,16,26,4.333333333333333,2463.9216561324574
PAMPANGA,3,1218753.0,4273937.0,2.0,1.0,0.0,56.0,123.0,60340166.07,27,2,6,1,0,2020,2025,18,29,4.833333333333333,49.5097579821342
PANGASINAN,1,770923.0,2981703.0,6.0,0.0,0.0,6797.0,60747.0,241005894.65,52,3,8,9,0,2021,2025,16,25,5.0,312.6199304599811
QUEZON,4A,370340.0,1393238.0,5.0,3.0,0.0,2427.0,32350.0,69236773.74,9,11,2,0,0,2020,2025,14,18,3.0,186.95461937678888
QUIRINO,2,72499.0,287861.0,0.0,0.0,0.0,19.0,408.0,50567132.400000006,25,0,3,5,5,2020,2024,9,16,3.2,697.4873087904662
RIZAL,4A,172457.0,716944.0,7.0,0.0,0.0,400.0,1030.0,111238158.38,9,3,11,0,0,2020,2025,15,22,3.6666666666666665,645.0196766730257
ROMBLON,4B,16720.0,66386.0,6.0,0.0,0.0,55.0,1233.0,6715791.2,27,0,3,1,1,2020,2025,14,22,3.6666666666666665,401.6621531100479
SAMAR,8,143646.0,575751.0,0.0,13.0,0.0,249.0,5120.0,33515924.35,25,0,0,0,0,2020,2024,10,13,2.6,233.32306050986455
SARANGANI,12,8408.0,36172.0,0.0,7.0,0.0,154.0,893.0,5005500.0,1,6,0,0,0,2022,2025,6,13,3.25,595.3258801141769
SIQUIJOR,7,4779.0,16688.0,0.0,0.0,0.0,158.0,4516.0,19520.0,7,0,0,0,0,2021,2024,3,7,1.75,4.084536513915045
SORSOGON,5,257441.0,1019687.0,3.0,8.0,0.0,1490.0,26184.0,51113102.730000004,37,1,3,1,1,2020,2025,15,23,3.8333333333333335,198.5429777308199
SOUTH COTABATO,12,4613.0,22814.0,0.0,0.0,0.0,24.0,323.0,740540.0,2,1,0,0,0,2021,2025,6,10,2.0,160.53327552568828
SOUTHERN LEYTE,8,130362.0,508176.0,18.0,94.0,4.0,35027.0,65670.0,133530313.99,25,19,20,20,16,2021,2024,7,9,2.25,1024.3039688712968
SULTAN KUDARAT,12,60641.0,296654.0,2.0,10.0,0.0,350.0,916.0,20000019.46,7,3,1,0,1,2022,2025,6,13,3.25,329.81018551804885
SULU,BARMM,225.0,1289.0,1.0,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2022,2022,1,1,1.0,0.0
SURIGAO DEL NORTE,CARAGA,181322.0,677806.0,19.0,374.0,0.0,47993.0,69983.0,358527676.48,1,12,0,0,0,2021,2025,8,11,2.2,1977.298267612314
SURIGAO DEL SUR,CARAGA,166457.0,628764.0,0.0,4.0,0.0,368.0,9690.0,27613763.18,11,0,0,0,0,2021,2024,5,6,1.5,165.89127029803493
TARLAC,3,129509.0,467250.0,0.0,0.0,0.0,21.0,47.0,16133023.47,12,0,1,0,0,2020,2025,12,19,3.1666666666666665,124.57067439328542
TAWI TAWI,BARMM,323.0,1615.0,0.0,0.0,0.0,134.0,103.0,0.0,0,0,0,0,0,2025,2025,2,4,4.0,0.0
ZAMBALES,3,53287.0,176692.0,2.0,4.0,0.0,165.0,302.0,16125246.3,19,0,1,0,1,2020,2025,18,29,4.833333333333333,302.61126165856587
ZAMBOANGA CITY,9,21043.0,96666.0,7.0,0.0,0.0,315.0,361.0,13865559.72,2,1,0,1,0,2021,2025,6,12,2.4,658.9155405598061
ZAMBOANGA DEL NORTE,9,50371.0,233216.0,0.0,1.0,0.0,118.0,185.0,4355621.0,7,1,0,1,0,2021,2025,6,13,2.6,86.47080661491731
ZAMBOANGA DEL SUR,9,4694.0,19519.0,0.0,0.0,0.0,70.0,222.0,397129.4,2,0,2,1,0,2021,2025,6,13,2.6,84.60362164465275
ZAMBOANGA SIBUGAY,9,1030.0,4093.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2024,2025,3,9,4.5,0.0
